source_url,target_url,match_type,action_type,action_code
/,https://www.prizma-optic.co.il/ru/,url,url,301
/%d0%b1%d0%bb%d0%be%d0%b3/,https://www.prizma-optic.co.il/ru/blog/,url,url,301
/%d7%91%d7%a2%d7%99%d7%a0%d7%99%d7%99%d7%9d-%d7%91%d7%95%d7%a8%d7%a7%d7%95%d7%aa-%d7%90%d7%99%d7%9a-%d7%a1%d7%92%d7%a0%d7%95%d7%9f-%d7%97%d7%99%d7%99%d7%9d-%d7%9e%d7%a9%d7%a4%d7%99%d7%a2-%d7%a2%d7%9c-2/,https://www.prizma-optic.co.il/ru/blog/,url,url,301
/%d7%a2%d7%99%d7%a0%d7%99%d7%99%d7%9d-%d7%91%d7%95%d7%94%d7%a7%d7%95%d7%aa-%d7%91%d7%a2%d7%99%d7%93%d7%9f-%d7%94%d7%93%d7%99%d7%92%d7%99%d7%98%d7%9c%d7%99-%d7%98%d7%9b%d7%a0%d7%95%d7%9c%d7%95%d7%92-2/,https://www.prizma-optic.co.il/ru/blog/,url,url,301
/%d7%91%d7%97%d7%a0%d7%95-%d7%90%d7%aa-%d7%a2%d7%a6%d7%9e%d7%9b%d7%9d-%d7%97%d7%99%d7%93%d7%95%d7%9f-%d7%98%d7%a8%d7%99%d7%95%d7%95%d7%99%d7%94/,https://www.prizma-optic.co.il/ru/blog/,url,url,301
/%d7%98%d7%99%d7%a4%d7%95%d7%9c-%d7%93%d7%97%d7%95%d7%a3-%d7%91%d7%a2%d7%99%d7%9f-%d7%9e%d7%94-%d7%9c%d7%a2%d7%a9%d7%95%d7%aa-%d7%91%d7%9e%d7%a7%d7%a8%d7%94-%d7%a9%d7%9c-%d7%a4%d7%a6%d7%99%d7%a2/,https://www.prizma-optic.co.il/ru/blog/,url,url,301
/%d7%9e%d7%a6%d7%90%d7%95-%d7%90%d7%aa-%d7%94%d7%91%d7%9c%d7%99%d7%99%d7%a0%d7%93-%d7%a1%d7%a4%d7%95%d7%98-%d7%a9%d7%9c%d7%9b%d7%9d/,https://www.prizma-optic.co.il/ru/blog/,url,url,301
/%d7%a2%d7%99%d7%a0%d7%99%d7%99%d7%9d-%d7%a7%d7%98%d7%a0%d7%95%d7%aa-%d7%90%d7%97%d7%a8%d7%99%d7%95%d7%aa-%d7%92%d7%93%d7%95%d7%9c%d7%94-5-%d7%98%d7%99%d7%a4%d7%99%d7%9d-%d7%9c%d7%a9%d7%9e%d7%99/,https://www.prizma-optic.co.il/ru/blog/,url,url,301
/%d7%a1%d7%9b%d7%a0%d7%95%d7%aa-%d7%94-uv-%d7%90%d7%99%d7%9a-%d7%9c%d7%94%d7%92%d7%9f-%d7%a2%d7%9c-%d7%94%d7%a2%d7%99%d7%a0%d7%99%d7%99%d7%9d-%d7%9e%d7%a4%d7%a0%d7%99-%d7%94%d7%a9%d7%9e%d7%a9/,https://www.prizma-optic.co.il/ru/blog/,url,url,301
/%d7%9b%d7%97%d7%95%d7%9c-%d7%99%d7%a8%d7%95%d7%a7-%d7%90%d7%95-%d7%97%d7%95%d7%9d-%d7%97%d7%9c%d7%95%d7%a7%d7%94-%d7%9c%d7%a6%d7%91%d7%a2%d7%99-%d7%a2%d7%99%d7%a0%d7%99%d7%99%d7%9d-%d7%9c%d7%a4/,https://www.prizma-optic.co.il/ru/blog/,url,url,301
/%d7%aa%d7%96%d7%95%d7%a0%d7%94-%d7%95%d7%91%d7%a8%d7%99%d7%90%d7%95%d7%aa-%d7%94%d7%a2%d7%99%d7%9f-%d7%9e%d7%94-%d7%9b%d7%93%d7%90%d7%99-%d7%9c%d7%90%d7%9b%d7%95%d7%9c-%d7%91%d7%a9%d7%91%d7%99%d7%9c/,https://www.prizma-optic.co.il/ru/blog/,url,url,301
/%d7%94%d7%9e%d7%93%d7%a8%d7%99%d7%9a-%d7%94%d7%9e%d7%a7%d7%95%d7%a6%d7%a8-%d7%9c%d7%a0%d7%99%d7%a7%d7%95%d7%99-%d7%95%d7%90%d7%97%d7%a1%d7%95%d7%9f-%d7%a2%d7%93%d7%a9%d7%95%d7%aa-%d7%9e%d7%92%d7%a2/,https://www.prizma-optic.co.il/ru/blog/,url,url,301
/%d7%91%d7%93%d7%99%d7%a7%d7%95%d7%aa-%d7%a2%d7%99%d7%9f-%d7%aa%d7%a7%d7%95%d7%a4%d7%aa%d7%99%d7%95%d7%aa-%d7%9c%d7%90-%d7%a8%d7%a7-%d7%9c%d7%9e%d7%99-%d7%a9%d7%a8%d7%95%d7%90%d7%94-%d7%9e%d7%98%d7%95/,https://www.prizma-optic.co.il/ru/blog/,url,url,301
/7-%d7%94%d7%a8%d7%92%d7%9c%d7%99%d7%9d-%d7%a4%d7%a9%d7%95%d7%98%d7%99%d7%9d-%d7%9c%d7%a2%d7%99%d7%a0%d7%99%d7%99%d7%9d-%d7%91%d7%a8%d7%99%d7%90%d7%95%d7%aa-%d7%99%d7%95%d7%aa%d7%a8/,https://www.prizma-optic.co.il/ru/blog/,url,url,301
/%d7%90%d7%99%d7%9a-%d7%9c%d7%91%d7%97%d7%95%d7%a8-%d7%9e%d7%a9%d7%a7%d7%a4%d7%99%d7%99%d7%9d-%d7%90%d7%9c-%d7%aa%d7%91%d7%97%d7%a8%d7%95-%d7%9e%d7%a9%d7%a7%d7%a4%d7%99%d7%99%d7%9d-%d7%a2%d7%93-%d7%a9/,https://www.prizma-optic.co.il/ru/blog/,url,url,301
/%d7%94%d7%a2%d7%99%d7%9f-%d7%94%d7%90%d7%a0%d7%95%d7%a9%d7%99%d7%aa/,https://www.prizma-optic.co.il/ru/blog/,url,url,301
/%d7%91%d7%97%d7%a0%d7%95-%d7%90%d7%aa-%d7%a2%d7%a6%d7%9e%d7%9b%d7%9d-%d7%94%d7%90%d7%9d-%d7%90%d7%aa%d7%9d-%d7%a2%d7%99%d7%95%d7%95%d7%a8%d7%99-%d7%a6%d7%91%d7%a2%d7%99%d7%9d/,https://www.prizma-optic.co.il/ru/blog/,url,url,301
/%d7%a2%d7%99%d7%a0%d7%99%d7%99%d7%9d-%d7%91%d7%a1%d7%99%d7%9b%d7%95%d7%9f-%d7%94%d7%9e%d7%97%d7%9c%d7%95%d7%aa-%d7%94%d7%a0%d7%a4%d7%95%d7%a6%d7%95%d7%aa-%d7%a9%d7%a2%d7%9c%d7%95%d7%9c%d7%95/,https://www.prizma-optic.co.il/ru/blog/,url,url,301
/%d7%91%d7%a2%d7%99%d7%a0%d7%99%d7%99%d7%9d-%d7%a4%d7%a7%d7%95%d7%97%d7%95%d7%aa-%d7%90%d7%99%d7%9a-%d7%9c%d7%a9%d7%9e%d7%95%d7%a8-%d7%a2%d7%9c-%d7%91%d7%a8%d7%99%d7%90%d7%95%d7%aa-%d7%94%d7%a2%d7%99/,https://www.prizma-optic.co.il/ru/blog/,url,url,301
/%d7%a2%d7%93%d7%a9%d7%95%d7%aa-%d7%9e%d7%92%d7%a2/,https://www.prizma-optic.co.il/ru/blog/,url,url,301
/%d7%9e%d7%a2%d7%91%d7%93%d7%aa-%d7%aa%d7%99%d7%a7%d7%95%d7%9f-%d7%9e%d7%a9%d7%a7%d7%a4%d7%99-%d7%a8%d7%90%d7%99%d7%99%d7%94-%d7%91%d7%90%d7%a9%d7%a7%d7%9c%d7%95%d7%9f-2/,https://www.prizma-optic.co.il/ru/blog/,url,url,301
/%d7%91%d7%93%d7%99%d7%a7%d7%aa-%d7%a8%d7%90%d7%99%d7%99%d7%94-%d7%91%d7%90%d7%a9%d7%a7%d7%9c%d7%95%d7%9f/,https://www.prizma-optic.co.il/ru/blog/,url,url,301
/%d7%97%d7%a0%d7%95%d7%aa-%d7%9e%d7%a9%d7%a7%d7%a4%d7%99%d7%99%d7%9d-%d7%91%d7%90%d7%a9%d7%a7%d7%9c%d7%95%d7%9f/,https://www.prizma-optic.co.il/ru/blog/,url,url,301
/%d7%a2%d7%93%d7%a9%d7%95%d7%aa-%d7%9e%d7%92%d7%a2-%d7%90%d7%a9%d7%a7%d7%9c%d7%95%d7%9f/,https://www.prizma-optic.co.il/ru/blog/,url,url,301
/%d7%90%d7%99%d7%9a-%d7%9c%d7%91%d7%97%d7%95%d7%a8-%d7%9e%d7%a9%d7%a7%d7%a4%d7%99-%d7%a8%d7%90%d7%99%d7%99%d7%94/,https://www.prizma-optic.co.il/ru/blog/,url,url,301
/%d7%90%d7%95%d7%a4%d7%98%d7%99%d7%a7%d7%94-%d7%91%d7%90%d7%a9%d7%a7%d7%9c%d7%95%d7%9f/,https://www.prizma-optic.co.il/ru/blog/,url,url,301
/%d1%86%d0%b5%d0%bd%d0%b0-%d0%bc%d1%83%d0%bb%d1%8c%d1%82%d0%b8%d1%84%d0%be%d0%ba%d0%b0%d0%bb%d1%8c%d0%bd%d1%8b%d1%85-%d0%bb%d0%b8%d0%bd%d0%b7-zeiss-%d0%bf%d0%b5%d1%80%d0%b5%d0%b4%d0%be%d0%b2/,https://www.prizma-optic.co.il/ru/blog/,url,url,301
/%d1%86%d0%b5%d0%bd%d0%b0-%d0%bc%d1%83%d0%bb%d1%8c%d1%82%d0%b8%d1%84%d0%be%d0%ba%d0%b0%d0%bb%d1%8c%d0%bd%d1%8b%d1%85-%d0%bb%d0%b8%d0%bd%d0%b7-optimize-%d0%b2%d0%b8%d0%b4%d1%8b-%d0%b8-%d0%bf/,https://www.prizma-optic.co.il/ru/blog/,url,url,301
/%d1%86%d0%b5%d0%bd%d0%b0-%d0%bc%d1%83%d0%bb%d1%8c%d1%82%d0%b8%d1%84%d0%be%d0%ba%d0%b0%d0%bb%d1%8c%d0%bd%d1%8b%d1%85-%d0%bb%d0%b8%d0%bd%d0%b7-hoya-%d0%b2%d0%b8%d0%b4%d1%8b-%d0%b8-%d0%bf%d1%80/,https://www.prizma-optic.co.il/ru/blog/,url,url,301
