old_url,old_path,lang,type,title,status,has_meta,new_path,action,priority,notes
"https://prizma-optic.co.il/%d7%9e%d7%a9%d7%a7%d7%a4%d7%99-%d7%9e%d7%95%d7%9c%d7%98%d7%99%d7%a4%d7%95%d7%a7%d7%9c-%d7%a2%d7%91%d7%95%d7%a8-%d7%9c%d7%a7%d7%95%d7%97%d7%95%d7%aa-%d7%9b%d7%9c%d7%9c%d7%99%d7%aa-%d7%9e%d7%95%d7%a9/","/%d7%9e%d7%a9%d7%a7%d7%a4%d7%99-%d7%9e%d7%95%d7%9c%d7%98%d7%99%d7%a4%d7%95%d7%a7%d7%9c-%d7%a2%d7%91%d7%95%d7%a8-%d7%9c%d7%a7%d7%95%d7%97%d7%95%d7%aa-%d7%9b%d7%9c%d7%9c%d7%99%d7%aa-%d7%9e%d7%95%d7%a9/",he,blog-post,"משקפי מולטיפוקל עבור לקוחות כללית מושלם",publish,yes,,pending,medium,
"https://prizma-optic.co.il/%d7%9e%d7%a9%d7%a7%d7%a4%d7%99-%d7%a4%d7%a8%d7%99%d7%96%d7%9e%d7%94/","/%d7%9e%d7%a9%d7%a7%d7%a4%d7%99-%d7%a4%d7%a8%d7%99%d7%96%d7%9e%d7%94/",he,blog-post,"איך מרגיש מישהו שצריך  משקפי פריזמה ? תופעות לוואי וסימנים מקדימים",publish,yes,,pending,medium,
"https://prizma-optic.co.il/%d7%94%d7%90%d7%98%d7%aa-%d7%94%d7%aa%d7%a7%d7%93%d7%9e%d7%95%d7%aa-%d7%a7%d7%95%d7%a6%d7%a8-%d7%a8%d7%90%d7%99%d7%99%d7%94/","/%d7%94%d7%90%d7%98%d7%aa-%d7%94%d7%aa%d7%a7%d7%93%d7%9e%d7%95%d7%aa-%d7%a7%d7%95%d7%a6%d7%a8-%d7%a8%d7%90%d7%99%d7%99%d7%94/",he,blog-post,"האטת התקדמות קוצר ראייה? יש דרך מוכחת להאט את התהליך!",publish,yes,,pending,medium,
"https://prizma-optic.co.il/%d7%9e%d7%a9%d7%a7%d7%a4%d7%99-%d7%a8%d7%90%d7%99%d7%99%d7%94-%d7%93%d7%a8%d7%9a-%d7%9b%d7%9c%d7%9c%d7%99%d7%aa/","/%d7%9e%d7%a9%d7%a7%d7%a4%d7%99-%d7%a8%d7%90%d7%99%d7%99%d7%94-%d7%93%d7%a8%d7%9a-%d7%9b%d7%9c%d7%9c%d7%99%d7%aa/",he,blog-post,"משקפי ראייה דרך כללית   חווית שירות משתלמת במיוחד",publish,yes,,pending,medium,
"https://prizma-optic.co.il/%d7%a4%d7%a8%d7%99%d7%96%d7%9e%d7%94-%d7%91%d7%9e%d7%a9%d7%a7%d7%a4%d7%99%d7%99%d7%9d/","/%d7%a4%d7%a8%d7%99%d7%96%d7%9e%d7%94-%d7%91%d7%9e%d7%a9%d7%a7%d7%a4%d7%99%d7%99%d7%9d/",he,blog-post,"פריזמה במשקפיים   תופעות לוואי וסימנים מקדימים",publish,yes,,pending,medium,
"https://prizma-optic.co.il/%d7%9e%d7%a9%d7%a7%d7%a4%d7%99%d7%99%d7%9d-%d7%9c%d7%99%d7%9c%d7%93%d7%99%d7%9d-%d7%93%d7%a8%d7%9a-%d7%9b%d7%9c%d7%9c%d7%99%d7%aa/","/%d7%9e%d7%a9%d7%a7%d7%a4%d7%99%d7%99%d7%9d-%d7%9c%d7%99%d7%9c%d7%93%d7%99%d7%9d-%d7%93%d7%a8%d7%9a-%d7%9b%d7%9c%d7%9c%d7%99%d7%aa/",he,blog-post,"משקפיים לילדים דרך כללית   כל מה שצריך לדעת",publish,yes,,pending,medium,
"https://prizma-optic.co.il/%d7%9b%d7%9c%d7%9c%d7%99%d7%aa-%d7%a4%d7%9c%d7%98%d7%99%d7%a0%d7%95%d7%9d-%d7%9e%d7%a9%d7%a7%d7%a4%d7%99%d7%99%d7%9d-%d7%9c%d7%9e%d7%91%d7%95%d7%92%d7%a8%d7%99%d7%9d/","/%d7%9b%d7%9c%d7%9c%d7%99%d7%aa-%d7%a4%d7%9c%d7%98%d7%99%d7%a0%d7%95%d7%9d-%d7%9e%d7%a9%d7%a7%d7%a4%d7%99%d7%99%d7%9d-%d7%9c%d7%9e%d7%91%d7%95%d7%92%d7%a8%d7%99%d7%9d/",he,blog-post,"כללית פלטינום משקפיים למבוגרים – ההטבה שמשדרגת את הראייה שלך",publish,yes,,pending,medium,
"https://prizma-optic.co.il/%d7%90%d7%95%d7%a4%d7%98%d7%95%d7%9e%d7%98%d7%a8%d7%99%d7%a1%d7%98-%d7%91%d7%90%d7%a9%d7%a7%d7%9c%d7%95%d7%9f/","/%d7%90%d7%95%d7%a4%d7%98%d7%95%d7%9e%d7%98%d7%a8%d7%99%d7%a1%d7%98-%d7%91%d7%90%d7%a9%d7%a7%d7%9c%d7%95%d7%9f/",he,blog-post,"אופטומטריסט באשקלון   הבחירה הנכונה לבריאות העיניים שלך",publish,yes,,pending,medium,
"https://prizma-optic.co.il/%d7%97%d7%a0%d7%95%d7%99%d7%95%d7%aa-%d7%9e%d7%a9%d7%a7%d7%a4%d7%99%d7%99%d7%9d-%d7%91%d7%90%d7%a9%d7%a7%d7%9c%d7%95%d7%9f/","/%d7%97%d7%a0%d7%95%d7%99%d7%95%d7%aa-%d7%9e%d7%a9%d7%a7%d7%a4%d7%99%d7%99%d7%9d-%d7%91%d7%90%d7%a9%d7%a7%d7%9c%d7%95%d7%9f/",he,blog-post,"חנויות משקפיים באשקלון – המדריך המלא לבחירת המקום הנכון",publish,yes,,pending,medium,
"https://prizma-optic.co.il/%d7%90%d7%95%d7%a4%d7%98%d7%99%d7%a7%d7%94-%d7%91%d7%94%d7%a1%d7%93%d7%a8-%d7%a2%d7%9d-%d7%9b%d7%9c%d7%9c%d7%99%d7%aa-%d7%91%d7%90%d7%a9%d7%a7%d7%9c%d7%95%d7%9f/","/%d7%90%d7%95%d7%a4%d7%98%d7%99%d7%a7%d7%94-%d7%91%d7%94%d7%a1%d7%93%d7%a8-%d7%a2%d7%9d-%d7%9b%d7%9c%d7%9c%d7%99%d7%aa-%d7%91%d7%90%d7%a9%d7%a7%d7%9c%d7%95%d7%9f/",he,blog-post,"אופטיקה בהסדר עם כללית באשקלון   כל מה שצריך לדעת",publish,yes,,pending,medium,
